serving_team,rotation_number,FLOAT_real,HYBRID_real,JUMP_real,FLOAT_sim,HYBRID_sim,JUMP_sim,max_abs_diff
BRA,R1,0.1875,0.375,0.4375,0.2857142857142857,0.19480519480519481,0.5194805194805194,0.18019480519480519
BRA,R2,0.0,0.14285714285714285,0.8571428571428571,0.03529411764705882,0.07058823529411765,0.8941176470588236,0.0722689075630252
BRA,R3,0.8235294117647058,0.11764705882352941,0.058823529411764705,0.5675675675675675,0.08108108108108109,0.35135135135135137,0.29252782193958665
BRA,R4,0.030303030303030304,0.06060606060606061,0.9090909090909091,0.0,0.01282051282051282,0.9871794871794872,0.07808857808857816
BRA,R5,0.03125,0.03125,0.9375,0.0196078431372549,0.058823529411764705,0.9215686274509803,0.027573529411764705
BRA,R6,0.125,0.09375,0.78125,0.17857142857142858,0.125,0.6964285714285714,0.0848214285714286
FRA,R1,0.19444444444444445,0.05555555555555555,0.75,0.3103448275862069,0.15517241379310345,0.5344827586206896,0.2155172413793104
FRA,R2,0.5142857142857142,0.08571428571428572,0.4,0.2,0.12941176470588237,0.6705882352941176,0.3142857142857142
FRA,R3,0.1388888888888889,0.08333333333333333,0.7777777777777778,0.5,0.07352941176470588,0.4264705882352941,0.3611111111111111
FRA,R4,0.0,0.0,1.0,0.0,0.015873015873015872,0.9841269841269841,0.015873015873015928
FRA,R5,0.4583333333333333,0.20833333333333334,0.3333333333333333,0.0,0.045454545454545456,0.9545454545454546,0.6212121212121213
FRA,R6,0.7741935483870968,0.03225806451612903,0.1935483870967742,0.4444444444444444,0.12962962962962962,0.42592592592592593,0.32974910394265233
ITA,R1,0.03333333333333333,0.23333333333333334,0.7333333333333333,0.15384615384615385,0.3076923076923077,0.5384615384615384,0.19487179487179485
ITA,R2,0.0,0.06060606060606061,0.9393939393939394,0.07547169811320754,0.12264150943396226,0.8018867924528302,0.13750714694110922
ITA,R3,0.5483870967741935,0.2903225806451613,0.16129032258064516,0.5512820512820513,0.15384615384615385,0.2948717948717949,0.13647642679900746
ITA,R4,0.0,0.0,1.0,0.01282051282051282,0.0,0.9871794871794872,0.01282051282051282
ITA,R5,0.0,0.15384615384615385,0.8461538461538461,0.06349206349206349,0.06349206349206349,0.873015873015873,0.09035409035409037
ITA,R6,0.45454545454545453,0.18181818181818182,0.36363636363636365,0.32727272727272727,0.21818181818181817,0.45454545454545453,0.12727272727272726
JPN,R1,0.6578947368421053,0.18421052631578946,0.15789473684210525,0.3770491803278688,0.21311475409836064,0.4098360655737705,0.2808455565142365
JPN,R2,0.0,0.03333333333333333,0.9666666666666667,0.04,0.10666666666666667,0.8533333333333334,0.11333333333333329
JPN,R3,0.8333333333333334,0.03333333333333333,0.13333333333333333,0.5421686746987951,0.0963855421686747,0.3614457831325301,0.2911646586345382
JPN,R4,0.0,0.0,1.0,0.0,0.0,1.0,0.0
JPN,R5,0.0,0.1111111111111111,0.8888888888888888,0.058823529411764705,0.13725490196078433,0.803921568627451,0.08496732026143783
JPN,R6,0.5172413793103449,0.0,0.4827586206896552,0.32653061224489793,0.16326530612244897,0.5102040816326531,0.19071076706544693
POL,R1,0.3235294117647059,0.4411764705882353,0.23529411764705882,0.16417910447761194,0.29850746268656714,0.5373134328358209,0.30201931518876207
POL,R2,0.038461538461538464,0.19230769230769232,0.7692307692307693,0.06329113924050633,0.1518987341772152,0.7848101265822784,0.040408958130477124
POL,R3,0.0,0.0,1.0,0.29069767441860467,0.11627906976744186,0.5930232558139535,0.40697674418604646
POL,R4,0.0,0.037037037037037035,0.9629629629629629,0.0,0.046511627906976744,0.9534883720930233,0.009474590869939709
POL,R5,0.0,0.027777777777777776,0.9722222222222222,0.06,0.06,0.88,0.0922222222222222
POL,R6,0.0625,0.8125,0.125,0.25,0.375,0.375,0.4375
SLO,R1,0.32,0.04,0.64,0.3194444444444444,0.1111111111111111,0.5694444444444444,0.0711111111111111
SLO,R2,0.0,0.0,1.0,0.0625,0.0625,0.875,0.125
SLO,R3,0.7407407407407407,0.07407407407407407,0.18518518518518517,0.5657894736842105,0.07894736842105263,0.35526315789473684,0.1749512670565302
SLO,R4,0.0,0.0,1.0,0.0,0.016129032258064516,0.9838709677419355,0.016129032258064516
SLO,R5,0.0,0.037037037037037035,0.9629629629629629,0.10638297872340426,0.06382978723404255,0.8297872340425532,0.13317572892040974
SLO,R6,0.03125,0.15625,0.8125,0.20967741935483872,0.22580645161290322,0.5645161290322581,0.24798387096774188
USA,R1,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.3625,0.1625,0.475,0.08194444444444443
USA,R2,0.0,0.2,0.8,0.07777777777777778,0.08888888888888889,0.8333333333333334,0.11111111111111112
USA,R3,0.2564102564102564,0.15384615384615385,0.5897435897435898,0.42168674698795183,0.04819277108433735,0.5301204819277109,0.16527649057769545
USA,R4,0.0,0.030303030303030304,0.9696969696969697,0.0,0.028985507246376812,0.9710144927536232,0.001317523056653492
USA,R5,0.0,0.0,1.0,0.06896551724137931,0.06896551724137931,0.8620689655172413,0.13793103448275867
USA,R6,0.0,0.20689655172413793,0.7931034482758621,0.32558139534883723,0.18604651162790697,0.4883720930232558,0.32558139534883723
